age,workclass,education-num,occupation,race,sex,native-country,marital-status
49, Self-emp-inc,10, Exec-managerial, White, Male, United-States, Married-civ-spouse
19, Private,10, Prof-specialty, White, Male, United-States, Never-married
31, Private,13, Sales, Black, Female, United-States, Separated
29, Self-emp-not-inc,13, Sales, White, Male, United-States, Married-civ-spouse
23, Private,10, Machine-op-inspct, White, Male, United-States, Never-married
79, Private,10, Prof-specialty, White, Male, United-States, Married-civ-spouse
27, Private,9, Other-service, White, Male, Mexico, Never-married
40, Private,12, Adm-clerical, White, Male, United-States, Married-civ-spouse
18, Private,7, Other-service, White, Female, United-States, Never-married
31, Local-gov,4, Farming-fishing, White, Male, United-States, Married-civ-spouse
18, Private,9, Sales, White, Male, United-States, Never-married
52, Private,13, Other-service, White, Male, Cuba, Married-civ-spouse
46, Private,9, Other-service, White, Female, United-States, Married-civ-spouse
59, Private,9, Sales, White, Male, United-States, Married-civ-spouse
44, Private,9, Craft-repair, White, Female, United-States, Divorced
53, Private,9, Sales, White, Female, United-States, Divorced
49, Local-gov,9, Protective-serv, White, Male, United-States, Married-civ-spouse
33, Private,14, Prof-specialty, White, Male, United-States, Married-civ-spouse
30, Private,5, Sales, White, Male, United-States, Never-married
43, Federal-gov,16, Prof-specialty, White, Female, United-States, Never-married
57, Private,11, Prof-specialty, White, Male, United-States, Married-civ-spouse
37, Private,10, Craft-repair, White, Female, United-States, Divorced
28, Private,10, Machine-op-inspct, Black, Female, United-States, Divorced
34, Local-gov,13, Protective-serv, White, Male, United-States, Married-civ-spouse
29, Local-gov,10, Handlers-cleaners, White, Male, United-States, Never-married
48, Self-emp-not-inc,16, Prof-specialty, White, Male, United-States, Married-civ-spouse
37, Private,10, Sales, White, Male, United-States, Married-civ-spouse
48, Private,12, Exec-managerial, White, Female, England, Divorced
32, Federal-gov,9, Other-service, Black, Male, United-States, Never-married
76, Private,14, Exec-managerial, White, Male, United-States, Married-civ-spouse
44, Private,13, Exec-managerial, White, Male, United-States, Married-civ-spouse
47, Self-emp-not-inc,14, Prof-specialty, White, Female, United-States, Never-married
20, Private,10, Tech-support, White, Female, United-States, Never-married
29, Private,9, Craft-repair, White, Male, United-States, Never-married
32, Self-emp-inc,9, Craft-repair, White, Male, United-States, Married-civ-spouse
30, Private,7, Handlers-cleaners, White, Male, United-States, Never-married
31, Local-gov,9, Adm-clerical, White, Female, United-States, Never-married
42, Private,9, Handlers-cleaners, White, Male, United-States, Married-civ-spouse
24, Private,13, Sales, White, Male, United-States, Never-married
38, Private,15, Prof-specialty, White, Male, United-States, Married-civ-spouse
56, Self-emp-not-inc,9, Other-service, White, Male, Canada, Married-civ-spouse
28, Private,10, Sales, White, Female, United-States, Married-civ-spouse
36, Private,9, Machine-op-inspct, White, Female, United-States, Never-married
53, Private,5, Handlers-cleaners, White, Male, United-States, Married-civ-spouse
56, Self-emp-inc,10, Sales, White, Male, United-States, Married-civ-spouse
49, Local-gov,11, Craft-repair, Black, Male, United-States, Married-civ-spouse
55, Private,10, Sales, White, Male, United-States, Married-civ-spouse
22, Private,9, Craft-repair, White, Male, United-States, Never-married
21, Private,10, Other-service, White, Female, United-States, Never-married
40, Private,13, Exec-managerial, White, Male, United-States, Married-civ-spouse
30, Private,13, Exec-managerial, Black, Male, Germany, Never-married
29, State-gov,13, Prof-specialty, White, Male, United-States, Married-civ-spouse
19, Private,10, Other-service, Black, Male, United-States, Never-married
47, Private,13, Exec-managerial, White, Female, United-States, Married-civ-spouse
20, Private,10, Adm-clerical, White, Female, United-States, Never-married
31, Private,12, Adm-clerical, White, Male, United-States, Married-civ-spouse
39, Private,10, Craft-repair, White, Male, United-States, Divorced
28, Private,12, Sales, White, Female, United-States, Never-married
24, Private,9, Other-service, White, Female, United-States, Never-married
38, Self-emp-not-inc,9, Craft-repair, White, Male, United-States, Married-civ-spouse
37, Private,13, Sales, White, Male, United-States, Married-civ-spouse
46, Private,12, Tech-support, Black, Female, United-States, Divorced
38, Federal-gov,14, Prof-specialty, White, Male, Iran, Married-civ-spouse
43, Self-emp-not-inc,9, Craft-repair, White, Male, United-States, Married-civ-spouse
27, Private,11, Adm-clerical, White, Female, United-States, Married-civ-spouse
20, Private,10, Sales, White, Male, United-States, Never-married
49, Private,10, Craft-repair, Asian-Pac-Islander, Male, United-States, Married-civ-spouse
61, Self-emp-inc,9, Craft-repair, White, Male, United-States, Married-civ-spouse
27, Private,10, Sales, White, Female, United-States, Never-married
19, Private,10, Other-service, White, Male, Mexico, Never-married
45, Private,11, Prof-specialty, White, Female, United-States, Never-married
70, Private,10, Tech-support, White, Male, United-States, Never-married
31, Private,9, Transport-moving, Black, Female, United-States, Never-married
22, Private,10, Other-service, White, Male, United-States, Married-civ-spouse
36, Private,9, Other-service, White, Female, United-States, Widowed
64, Private,7, Craft-repair, White, Male, United-States, Married-civ-spouse
47, Local-gov,10, Adm-clerical, White, Female, Mexico, Divorced
34, Private,9, Adm-clerical, White, Female, United-States, Never-married
33, Private,13, Exec-managerial, Asian-Pac-Islander, Female, Philippines, Never-married
21, Private,9, Craft-repair, White, Male, United-States, Never-married
48, Private,9, Craft-repair, White, Male, United-States, Married-civ-spouse
23, Private,13, Handlers-cleaners, White, Male, United-States, Never-married
71, Self-emp-not-inc,10, Sales, Black, Male, United-States, Separated
29, Private,9, Craft-repair, White, Male, United-States, Divorced
42, Private,13, Other-service, Black, Male, United-States, Separated
25, Private,9, Other-service, White, Female, United-States, Never-married
44, Self-emp-inc,14, Exec-managerial, Asian-Pac-Islander, Female, United-States, Divorced
28, Private,9, Exec-managerial, Asian-Pac-Islander, Female, England, Never-married
45, Self-emp-not-inc,14, Sales, White, Male, United-States, Married-civ-spouse
36, Private,10, Other-service, White, Female, Mexico, Divorced
39, Federal-gov,12, Exec-managerial, White, Male, United-States, Never-married
46, State-gov,14, Protective-serv, White, Male, United-States, Widowed
18, Private,7, Handlers-cleaners, White, Male, United-States, Never-married
66, Local-gov,11, Prof-specialty, White, Female, United-States, Widowed
27, Private,9, Other-service, White, Male, United-States, Never-married
28, State-gov,9, Protective-serv, White, Male, United-States, Married-civ-spouse
51, Private,10, Sales, White, Male, United-States, Married-civ-spouse
27, Private,13, Craft-repair, White, Male, United-States, Never-married
28, State-gov,13, Prof-specialty, White, Male, United-States, Married-civ-spouse
27, Private,9, Sales, White, Female, United-States, Married-spouse-absent
21, Private,9, Craft-repair, Black, Male, United-States, Never-married
34, Private,9, Handlers-cleaners, Black, Male, United-States, Never-married
18, Private,9, Other-service, White, Male, United-States, Never-married
33, Private,13, Prof-specialty, White, Male, United-States, Married-civ-spouse
44, Local-gov,10, Exec-managerial, Black, Male, United-States, Married-civ-spouse
43, Private,10, Adm-clerical, White, Female, United-States, Divorced
30, Private,10, Craft-repair, Black, Male, United-States, Never-married
40, Private,4, Machine-op-inspct, White, Male, Mexico, Married-civ-spouse
37, Federal-gov,10, Adm-clerical, White, Male, United-States, Married-civ-spouse
34, Private,9, Adm-clerical, Black, Male, United-States, Married-civ-spouse
41, Self-emp-not-inc,13, Exec-managerial, White, Female, United-States, Divorced
31, Private,14, Prof-specialty, White, Female, United-States, Married-civ-spouse
58, State-gov,16, Prof-specialty, White, Male, United-States, Married-civ-spouse
38, Private,10, Machine-op-inspct, Black, Female, United-States, Divorced
24, Private,10, Machine-op-inspct, White, Male, United-States, Married-civ-spouse
41, Local-gov,13, Craft-repair, Black, Male, United-States, Married-civ-spouse
47, Private,10, Tech-support, White, Male, United-States, Married-civ-spouse
41, Federal-gov,13, Tech-support, White, Male, United-States, Married-civ-spouse
23, Private,3, Transport-moving, White, Male, Mexico, Married-civ-spouse
36, Private,10, Craft-repair, White, Male, United-States, Divorced
40, Federal-gov,14, Exec-managerial, White, Female, United-States, Never-married
35, Private,14, Prof-specialty, White, Male, United-States, Married-civ-spouse
24, Self-emp-not-inc,9, Sales, White, Male, United-States, Never-married
26, Private,14, Prof-specialty, White, Female, United-States, Never-married
51, Private,13, Exec-managerial, White, Male, United-States, Married-civ-spouse
42, Local-gov,10, Prof-specialty, White, Female, United-States, Never-married
37, State-gov,9, Adm-clerical, White, Female, United-States, Divorced
18, Private,7, Sales, White, Female, United-States, Never-married
36, Private,13, Other-service, Black, Male, United-States, Married-civ-spouse
35, Private,9, Craft-repair, White, Male, United-States, Divorced
58, Self-emp-inc,9, Sales, White, Female, United-States, Married-civ-spouse
17, Private,7, Sales, White, Female, United-States, Never-married
44, Local-gov,9, Transport-moving, Black, Male, United-States, Married-civ-spouse
37, Private,9, Craft-repair, White, Male, United-States, Married-civ-spouse
35, Private,10, Sales, Amer-Indian-Eskimo, Female, United-States, Never-married
60, Private,9, Craft-repair, Asian-Pac-Islander, Male, United-States, Married-civ-spouse
54, Self-emp-inc,4, Machine-op-inspct, White, Male, United-States, Married-civ-spouse
37, Private,13, Exec-managerial, Black, Male, United-States, Never-married
50, Private,12, Sales, White, Female, United-States, Divorced
38, Private,13, Sales, White, Male, Poland, Married-civ-spouse
45, Private,13, Prof-specialty, White, Male, United-States, Married-civ-spouse
25, Private,6, Craft-repair, White, Male, United-States, Never-married
31, Private,10, Handlers-cleaners, White, Male, United-States, Married-civ-spouse
90, Private,9, Other-service, Black, Male, United-States, Never-married
54, Private,9, Adm-clerical, Black, Male, United-States, Married-civ-spouse
53, Local-gov,1, Machine-op-inspct, White, Female, United-States, Never-married
18, Private,9, Sales, White, Female, United-States, Never-married
66, Self-emp-not-inc,9, Farming-fishing, White, Male, United-States, Married-civ-spouse
75, Private,11, Adm-clerical, White, Female, Columbia, Widowed
65, Private,9, Adm-clerical, White, Female, United-States, Divorced
35, Private,7, Transport-moving, Black, Male, United-States, Separated
41, Private,9, Sales, Black, Female, United-States, Divorced
25, Private,10, Adm-clerical, White, Male, United-States, Never-married
33, Private,10, Craft-repair, Other, Female, United-States, Divorced
28, Private,15, Prof-specialty, White, Male, United-States, Never-married
59, State-gov,9, Other-service, White, Male, United-States, Married-civ-spouse
40, State-gov,10, Adm-clerical, White, Female, United-States, Never-married
41, Private,13, Exec-managerial, White, Male, Iran, Married-civ-spouse
38, Local-gov,14, Exec-managerial, White, Male, United-States, Married-civ-spouse
23, Private,9, Transport-moving, White, Male, United-States, Never-married
40, Private,13, Prof-specialty, White, Male, United-States, Married-civ-spouse
41, Self-emp-not-inc,9, Other-service, White, Female, United-States, Married-civ-spouse
24, State-gov,12, Protective-serv, White, Male, United-States, Married-civ-spouse
38, Private,10, Craft-repair, White, Male, United-States, Divorced
58, Private,9, Adm-clerical, White, Male, United-States, Married-civ-spouse
32, Private,9, Other-service, White, Female, United-States, Never-married
40, Private,12, Tech-support, White, Male, United-States, Married-civ-spouse
41, Private,15, Prof-specialty, White, Female, United-States, Married-civ-spouse
42, Private,13, Adm-clerical, Black, Female, United-States, Married-civ-spouse
59, Local-gov,6, Other-service, Black, Female, United-States, Widowed
19, Local-gov,10, Adm-clerical, White, Male, United-States, Never-married
58, Private,10, Transport-moving, White, Male, United-States, Never-married
42, Self-emp-not-inc,9, Farming-fishing, Asian-Pac-Islander, Male, Cambodia, Married-civ-spouse
20, Private,9, Other-service, White, Female, United-States, Never-married
32, Private,9, Other-service, White, Female, United-States, Separated
45, Private,11, Exec-managerial, White, Female, United-States, Widowed
50, Private,4, Craft-repair, White, Male, United-States, Divorced
36, Private,13, Prof-specialty, White, Female, United-States, Divorced
45, Private,9, Sales, White, Male, United-States, Married-civ-spouse
17, Private,7, Other-service, White, Male, United-States, Never-married
59, Private,10, Sales, White, Male, United-States, Married-civ-spouse
26, Private,7, Craft-repair, White, Male, United-States, Married-civ-spouse
37, Self-emp-inc,10, Exec-managerial, Asian-Pac-Islander, Male, Thailand, Married-civ-spouse
64, Private,9, Exec-managerial, White, Male, United-States, Married-civ-spouse
33, Private,13, Prof-specialty, White, Female, United-States, Never-married
33, Private,9, Craft-repair, White, Female, United-States, Married-civ-spouse
61, Private,9, Exec-managerial, White, Male, United-States, Married-civ-spouse
17, Private,5, Other-service, White, Male, United-States, Never-married
50, Self-emp-not-inc,14, Farming-fishing, White, Male, United-States, Married-civ-spouse
27, Local-gov,14, Prof-specialty, White, Male, United-States, Never-married
30, Private,9, Prof-specialty, White, Female, United-States, Divorced
43, Private,9, Handlers-cleaners, Black, Male, United-States, Married-civ-spouse
44, Private,10, Craft-repair, White, Male, United-States, Married-civ-spouse
35, Private,10, Exec-managerial, White, Female, United-States, Never-married
25, Private,10, Tech-support, White, Female, United-States, Never-married
24, Private,10, Machine-op-inspct, White, Female, United-States, Married-civ-spouse
22, Private,13, Prof-specialty, White, Female, Germany, Never-married
42, Local-gov,10, Craft-repair, White, Male, United-States, Married-civ-spouse
34, Private,12, Sales, Black, Female, United-States, Divorced
60, Private,13, Prof-specialty, White, Female, United-States, Divorced
21, Private,9, Handlers-cleaners, White, Male, United-States, Never-married
57, Federal-gov,14, Sales, White, Male, United-States, Married-civ-spouse
41, Private,15, Prof-specialty, White, Male, United-States, Married-civ-spouse
50, Private,10, Other-service, White, Male, United-States, Divorced
25, Private,13, Exec-managerial, White, Female, United-States, Never-married
50, Private,4, Craft-repair, White, Male, Ecuador, Married-civ-spouse
36, Private,13, Prof-specialty, White, Male, United-States, Married-civ-spouse
31, Private,9, Prof-specialty, White, Female, United-States, Divorced
29, Local-gov,13, Protective-serv, White, Male, United-States, Never-married
21, Private,10, Sales, White, Male, United-States, Never-married
27, Private,13, Tech-support, Black, Female, United-States, Never-married
65, Private,9, Transport-moving, White, Male, United-States, Married-civ-spouse
37, Self-emp-inc,13, Sales, White, Female, United-States, Divorced
24, Private,9, Craft-repair, White, Male, United-States, Never-married
38, Private,9, Sales, White, Male, United-States, Divorced
48, Private,13, Adm-clerical, White, Male, United-States, Married-civ-spouse
21, Private,10, Other-service, Asian-Pac-Islander, Female, United-States, Never-married
31, Private,9, Transport-moving, White, Male, United-States, Married-civ-spouse
55, Private,9, Sales, White, Male, United-States, Married-civ-spouse
24, Private,10, Adm-clerical, Asian-Pac-Islander, Female, Laos, Married-civ-spouse
43, Private,9, Adm-clerical, White, Female, United-States, Divorced
26, Private,12, Tech-support, White, Male, United-States, Never-married
46, Private,12, Prof-specialty, White, Female, United-States, Never-married
35, Private,12, Adm-clerical, White, Male, United-States, Married-civ-spouse
41, Self-emp-inc,10, Farming-fishing, White, Male, United-States, Married-civ-spouse
26, Private,13, Sales, White, Male, United-States, Never-married
34, Private,14, Exec-managerial, Asian-Pac-Islander, Male, Taiwan, Married-civ-spouse
36, Self-emp-not-inc,13, Prof-specialty, Black, Female, United-States, Divorced
22, Private,10, Sales, White, Male, United-States, Never-married
24, Private,10, Machine-op-inspct, White, Male, United-States, Never-married
77, Self-emp-not-inc,10, Sales, White, Male, United-States, Married-civ-spouse
22, Private,3, Machine-op-inspct, White, Female, Mexico, Married-civ-spouse
29, Private,10, Tech-support, White, Female, United-States, Never-married
62, Private,9, Other-service, White, Female, United-States, Widowed
39, Self-emp-not-inc,9, Exec-managerial, White, Male, United-States, Married-civ-spouse
43, Private,10, Craft-repair, White, Male, United-States, Married-civ-spouse
35, Private,9, Transport-moving, White, Male, United-States, Divorced
29, Private,7, Exec-managerial, White, Female, United-States, Never-married
76, Self-emp-not-inc,14, Craft-repair, White, Male, United-States, Married-civ-spouse
63, Self-emp-not-inc,9, Farming-fishing, White, Male, United-States, Married-civ-spouse
43, Private,10, Prof-specialty, White, Female, United-States, Married-civ-spouse
58, Self-emp-not-inc,9, Handlers-cleaners, White, Male, United-States, Married-civ-spouse
66, Private,9, Transport-moving, White, Male, United-States, Never-married
41, Private,10, Craft-repair, Black, Male, United-States, Never-married
26, Private,13, Adm-clerical, White, Male, United-States, Never-married
47, Private,11, Other-service, White, Male, United-States, Never-married
55, Local-gov,6, Adm-clerical, White, Male, United-States, Married-civ-spouse
53, Private,9, Transport-moving, White, Male, United-States, Married-civ-spouse
17, Private,3, Other-service, White, Male, Mexico, Never-married
30, Private,9, Craft-repair, White, Male, United-States, Never-married
49, Private,14, Prof-specialty, White, Male, United-States, Never-married
19, Private,9, Sales, Black, Male, Haiti, Never-married
45, Private,9, Other-service, Black, Male, United-States, Married-civ-spouse
26, Private,12, Sales, White, Male, United-States, Never-married
38, Private,11, Craft-repair, White, Male, United-States, Married-civ-spouse
36, State-gov,9, Protective-serv, White, Male, United-States, Married-civ-spouse
33, Private,9, Farming-fishing, White, Male, United-States, Never-married
22, State-gov,10, Protective-serv, Black, Female, United-States, Never-married
43, Self-emp-not-inc,13, Sales, White, Male, United-States, Never-married
56, Private,12, Other-service, White, Male, Iran, Married-spouse-absent
31, Private,13, Prof-specialty, White, Male, United-States, Never-married
33, Private,13, Exec-managerial, White, Male, United-States, Married-civ-spouse
26, Private,9, Other-service, White, Male, United-States, Married-civ-spouse
33, Private,13, Exec-managerial, White, Male, United-States, Married-civ-spouse
46, Local-gov,7, Transport-moving, White, Male, United-States, Married-civ-spouse
38, Federal-gov,9, Adm-clerical, White, Male, United-States, Married-civ-spouse
65, Private,7, Other-service, Other, Male, United-States, Widowed
40, Private,11, Tech-support, White, Male, United-States, Married-civ-spouse
42, Private,9, Adm-clerical, White, Female, United-States, Married-civ-spouse
26, Self-emp-not-inc,5, Craft-repair, White, Male, Portugal, Married-civ-spouse
36, Private,6, Other-service, White, Female, United-States, Married-civ-spouse
62, Private,14, Prof-specialty, White, Male, United-States, Married-civ-spouse
43, Private,13, Transport-moving, White, Male, United-States, Married-civ-spouse
43, Private,13, Exec-managerial, White, Male, United-States, Divorced
22, Private,9, Sales, White, Male, United-States, Married-spouse-absent
28, Private,9, Craft-repair, White, Male, United-States, Married-civ-spouse
56, Self-emp-not-inc,10, Sales, White, Male, United-States, Married-civ-spouse
22, Private,12, Sales, White, Female, United-States, Never-married
57, Private,13, Exec-managerial, White, Female, United-States, Divorced
39, Private,9, Sales, White, Female, United-States, Divorced
26, Federal-gov,10, Adm-clerical, White, Female, United-States, Never-married
17, Private,7, Other-service, White, Male, United-States, Never-married
40, State-gov,11, Machine-op-inspct, White, Male, United-States, Married-civ-spouse
45, Private,9, Machine-op-inspct, Black, Male, United-States, Married-civ-spouse
44, Private,9, Craft-repair, Black, Male, United-States, Never-married
20, Local-gov,10, Adm-clerical, White, Female, United-States, Never-married
33, Private,9, Craft-repair, White, Female, United-States, Married-civ-spouse
23, Private,10, Sales, White, Male, United-States, Never-married
46, Self-emp-not-inc,14, Exec-managerial, White, Male, United-States, Divorced
38, Private,9, Sales, White, Male, United-States, Married-civ-spouse
54, Private,9, Transport-moving, White, Male, United-States, Divorced
46, Private,3, Craft-repair, White, Female, United-States, Divorced
25, Private,10, Craft-repair, White, Male, United-States, Married-civ-spouse
46, Private,10, Sales, White, Female, United-States, Divorced
36, Local-gov,10, Transport-moving, White, Female, United-States, Married-civ-spouse
23, Private,9, Other-service, White, Female, United-States, Never-married
29, Private,9, Machine-op-inspct, White, Male, United-States, Separated
44, Private,10, Adm-clerical, White, Female, United-States, Married-civ-spouse
19, Private,10, Adm-clerical, White, Female, United-States, Never-married
19, Private,9, Other-service, White, Female, United-States, Never-married
35, Private,9, Other-service, White, Female, United-States, Married-civ-spouse
27, Private,13, Craft-repair, White, Male, United-States, Never-married
46, Self-emp-not-inc,12, Craft-repair, White, Male, United-States, Separated
34, Private,9, Other-service, White, Female, United-States, Never-married
44, Private,10, Tech-support, White, Male, United-States, Married-civ-spouse
45, Private,10, Handlers-cleaners, White, Female, United-States, Divorced
25, Private,13, Exec-managerial, White, Male, United-States, Married-civ-spouse
52, Self-emp-inc,13, Exec-managerial, White, Male, United-States, Married-civ-spouse
20, Private,10, Handlers-cleaners, White, Male, United-States, Never-married
28, Private,10, Other-service, White, Female, United-States, Never-married
50, State-gov,13, Protective-serv, White, Male, United-States, Married-civ-spouse
34, Private,11, Tech-support, White, Female, United-States, Divorced
28, Private,4, Handlers-cleaners, Other, Male, Puerto-Rico, Married-civ-spouse
41, Private,14, Exec-managerial, White, Male, United-States, Married-civ-spouse
28, Private,9, Adm-clerical, White, Male, United-States, Married-civ-spouse
46, Self-emp-not-inc,9, Craft-repair, White, Male, United-States, Married-civ-spouse
32, Private,10, Exec-managerial, White, Male, United-States, Married-civ-spouse
41, Local-gov,10, Other-service, Black, Female, United-States, Divorced
24, Private,9, Handlers-cleaners, Black, Female, United-States, Never-married
33, Private,10, Exec-managerial, White, Female, United-States, Divorced
46, Private,16, Exec-managerial, White, Male, United-States, Married-civ-spouse
31, State-gov,10, Machine-op-inspct, White, Male, United-States, Married-civ-spouse
35, Private,8, Craft-repair, White, Male, United-States, Divorced
52, Private,2, Machine-op-inspct, White, Male, Mexico, Married-civ-spouse
30, Private,7, Other-service, White, Female, United-States, Never-married
34, Local-gov,7, Machine-op-inspct, Black, Male, United-States, Separated
34, State-gov,9, Transport-moving, White, Female, United-States, Divorced
20, Private,10, Sales, White, Male, United-States, Married-civ-spouse
17, Private,7, Handlers-cleaners, White, Male, United-States, Never-married
32, State-gov,13, Exec-managerial, White, Female, United-States, Married-civ-spouse
29, Private,9, Farming-fishing, White, Male, United-States, Divorced
33, Private,6, Craft-repair, White, Female, United-States, Never-married
25, Private,9, Transport-moving, White, Male, United-States, Married-civ-spouse
36, Federal-gov,14, Prof-specialty, White, Male, United-States, Never-married
23, Private,9, Handlers-cleaners, White, Male, Dominican-Republic, Never-married
63, Self-emp-inc,9, Exec-managerial, White, Male, United-States, Married-civ-spouse
47, Local-gov,14, Prof-specialty, White, Male, United-States, Married-civ-spouse
40, Self-emp-not-inc,13, Prof-specialty, White, Female, United-States, Married-spouse-absent
30, Private,12, Other-service, White, Female, United-States, Married-civ-spouse
27, Private,10, Craft-repair, Asian-Pac-Islander, Male, Philippines, Never-married
33, Private,14, Prof-specialty, White, Male, United-States, Married-civ-spouse
34, Local-gov,9, Farming-fishing, Black, Male, United-States, Never-married
34, Local-gov,10, Protective-serv, White, Female, United-States, Never-married
23, Private,10, Adm-clerical, White, Male, United-States, Married-civ-spouse
42, Local-gov,10, Adm-clerical, White, Female, United-States, Married-civ-spouse
29, Private,13, Prof-specialty, White, Male, United-States, Never-married
45, Private,9, Adm-clerical, White, Female, United-States, Divorced
24, Federal-gov,9, Armed-Forces, White, Male, United-States, Never-married
44, Private,10, Prof-specialty, White, Male, United-States, Married-civ-spouse
27, Private,5, Craft-repair, White, Male, Mexico, Never-married
20, Private,10, Sales, White, Male, United-States, Never-married
44, Private,9, Exec-managerial, Black, Female, United-States, Widowed
51, Private,9, Craft-repair, Amer-Indian-Eskimo, Male, United-States, Married-civ-spouse
20, Private,9, Machine-op-inspct, White, Male, United-States, Married-civ-spouse
19, Private,9, Machine-op-inspct, Black, Female, United-States, Never-married
45, Self-emp-inc,10, Craft-repair, White, Male, United-States, Married-civ-spouse
60, Private,9, Craft-repair, White, Male, United-States, Married-civ-spouse
44, Self-emp-not-inc,9, Sales, White, Female, United-States, Married-civ-spouse
40, Private,11, Machine-op-inspct, Asian-Pac-Islander, Male, United-States, Married-civ-spouse
30, Private,9, Exec-managerial, White, Female, United-States, Married-civ-spouse
38, Private,10, Transport-moving, Black, Male, United-States, Married-civ-spouse
23, Private,9, Transport-moving, White, Male, United-States, Married-civ-spouse
44, Private,12, Farming-fishing, White, Male, United-States, Never-married
54, Local-gov,9, Transport-moving, Black, Male, United-States, Married-civ-spouse
32, Private,13, Prof-specialty, White, Male, United-States, Married-civ-spouse
50, Private,2, Craft-repair, White, Male, United-States, Married-spouse-absent
24, Private,13, Tech-support, White, Female, United-States, Never-married
